Category,Feature,Description,Complexity,Priority,Status,Planned Version,Dependency,Risk Level,Notes
Platform Adapters,WPF adapter (host/mask/events/blocker/timer),Full implementation of IPlatformAdapter for WPF.,High,High,In Progress,v1,,Medium,
Platform Adapters,Guarded CanHandle logic,Robust host type checking to avoid incorrect adapter resolution.,Low,Medium,Done,v1,,Medium,
Platform Adapters,Error messages when no adapter found,Descriptive NotSupportedException when host type unsupported.,Low,Medium,Done,v1,,Medium,
Platform Adapters,IMovableAdapter design (optional),Optional abstraction for movable child windows.,Medium,Low,Not Started,v2,,Low,
Platform Adapters,Consider MAUI/Avalonia adapter spike,Research feasibility for future cross-platform adapters.,High,Low,Not Started,v3,,High,Research only.
Performance & Memory,Cache policy enforcement,Ensure PageCachePolicy modes behave as documented.,Medium,High,Done,v1,,Medium,
Performance & Memory,WeakSingleton semantics,ReleaseResources called but instance held for reuse.,Medium,Medium,Done,v1,,Medium,
Performance & Memory,StrongSingleton semantics,Instance preserved with no ReleaseResources call by default.,Medium,Medium,Done,v1,,Medium,
Performance & Memory,Stackable pages with OnDetach POP,Stack push/pop logic integrated with page detach events.,High,High,Done,v1,,Medium,
Performance & Memory,Avoid double-dispose on pages,Ensure CleanupPageAsync does not dispose cached singleton pages.,Medium,High,Done,v1,,Medium,
Performance & Memory,Event detach on navigation,Ensure all timeout click events are detached from old page.,Medium,High,Done,v1,,Medium,
Performance & Memory,Review leaks in EventDispatcher,Check attached event tracking to avoid leaks.,Medium,High,In Progress,v1,,High,
Performance & Memory,Optional weak-event adapter prototype,Experimental weak event dispatcher if needed.,High,Low,Not Started,v3,,High,
Performance & Memory,Stress test navigation with many pages,Simulate high churn to validate GC and event cleanup.,Medium,Medium,Not Started,v1,,Medium,
Experimental & Future,Middleware-like pipeline around navigation,Concept of pre-/post-navigation filters.,High,Medium,Not Started,v3,,High,
Experimental & Future,Navigation guards (can/cannot navigate),Predicate-based blocking of navigation under certain conditions.,High,Medium,Not Started,v2,,High,
Experimental & Future,Deep linking prototype,Ability to navigate by token/URI representing full state.,High,Medium,Not Started,v3,,High,
Experimental & Future,Multi-host support,Conceptual support for multiple active hosts.,High,Low,Not Started,Future,,High,
Experimental & Future,Plugin-based page discovery,Load pages from external assemblies dynamically.,High,Low,Not Started,Future,,High,
